	mac_name	address	address2	score	latitude	longitude
0	맥도날드 부천역곡역DT점	경기 부천시 경인로 487	(지번) 괴안동 112-23	2.8	37.483736	126.78119309999998
1	맥도날드 부천원종DT점	경기 부천시 소사로 689	(지번) 원종동 376-6	1.7	37.5228052	126.8032697
2	맥도날드 송파잠실DT점	서울 송파구 도곡로 434	(지번) 잠실동 305-15	3.0	37.50436079999999	127.07705049999998
3	맥도날드 중동DT점	경기 부천시 중동로262번길 94	(지번) 중동 1142-9	3.3	37.5021682	126.7741711
4	맥도날드 서울번동DT점	서울 강북구 월계로 191	(지번) 번동 106	1.9	37.6211416	127.0452455
5	맥도날드 안양비산DT점	경기 안양시 동안구 경수대로 839 지상 1층	(지번) 비산동 576-13	1.4	37.3934753	126.9415317
6	맥도날드 미아DT점	서울 강북구 삼양로 158	(지번) 미아동 682-12	2.6	37.6370282	127.0170402
7	맥도날드 서울둔촌DT점	서울 강동구 양재대로 1382	(지번) 둔촌동 517-2	3.0	37.5292801	127.1373345
8	맥도날드 인천구산DT점	인천 부평구 경인로 1191	(지번) 구산동 1-4	2.9	37.4841279	126.751893
9	맥도날드 고양원당DT점	경기 고양시 덕양구 호국로 777	(지번) 주교동 610-4	4.0	37.67628610000001	126.8748972
10	맥도날드 인천계산DT점	인천 계양구 오조산로 39 1~3층	(지번) 계산동 1083-3	2.7	37.5342698	126.7381367
11	맥도날드 굽은다리역DT점	서울 강동구 양재대로 1587	(지번) 천호동 31-10	3.1	37.5472557	127.1429838
12	맥도날드 군포산본DT점	경기 군포시 고산로 715	(지번) 산본동 105-6	2.5	37.3575915	126.93711090000002
13	맥도날드 가락DT점	서울 송파구 동남로 196	(지번) 가락동 193-7	1.3	37.49485410000001	127.1307848
14	맥도날드 김포고촌SK DT점	경기 김포시 고촌읍 김포대로 336	(지번) 고촌읍 신곡리 532-25	2.2	37.6011347	126.7710576
15	맥도날드 고양DT점	경기 고양시 덕양구 호국로 1699	(지번) 벽제동 262-1	3.6	37.7027946	126.9039451
16	맥도날드 연희DT	인천 서구 서곶로 265	(지번) 심곡동 255-2	3.7	37.5412565	126.6762775
17	맥도날드 양주휴게소DT점	경기 양주시 장흥면 서울외곽순환고속도로 58	(지번) 장흥면 삼하리 250-16	2.8	37.7178471	126.9410868
18	맥도날드 안산고잔DT점	경기 안산시 단원구 광덕3로 145-3	(지번) 고잔동 705-5	4.2	37.313709	126.8287215
19	맥도날드 문학DT점	인천 미추홀구 매소홀로 600	(지번) 문학동 381-5	2.0	37.44568889999999	126.6499368
20	맥도날드 용인수지DT점	경기 용인시 수지구 신수로 677	(지번) 풍덕천동 43-5	3.4	37.33029519999999	127.1021495
