	mac_name	address	address2	score	link	num_review	reviews	scores	dates
0	스타벅스 부천심곡DT점	경기 부천시 부천로 97	(지번) 심곡동 110-5	4.5	https://place.map.kakao.com/2057095996#review	4	['커피 맛있어요 강추!!~~', '자허블 넘나맛있어용', '여기직원분들도 친절하시고 다른지점보다 맛도좋은것같아서 자주가요']	['5', '5', '5']	['2019.11.08.', '2019.10.30.', '2019.07.18.']
1	스타벅스 안양비산DT점	경기 안양시 동안구 경수대로 821	(지번) 비산동 580-6	3.6	https://place.map.kakao.com/26900391#review	16	['와이파이 너무 잘 끊김 ㅠ', '혼자 2잔 시켜서 드라이브쓰루로 받는데 트레이 없이 주셔서 갈길잃은 두손이됐다 트레이에 담아달라고 다시 주면서 손에 커피 쏟고 아주 난리도 아니던.. 뜨거운 커피 뚜껑 구멍? 막아주는 막대 안 꽂아줘서 운전하고 가는데 흐르고 난리났었음 다 좋은데 이런 세심한 그런 게 아쉬웠다  위치는 좋다 대로에 있어서 ', '조금 아쉬워요', '직원의 숙련도가 의문', '최고예요', '와이파이 너무 잘 끊김 ㅠ', '혼자 2잔 시켜서 드라이브쓰루로 받는데 트레이 없이 주셔서 갈길잃은 두손이됐다 트레이에 담아달라고 다시 주면서 손에 커피 쏟고 아주 난리도 아니던.. 뜨거운 커피 뚜껑 구멍? 막아주는 막대 안 꽂아줘서 운전하고 가는데 흐르고 난리났었음 다 좋은데 이런 세심한 그런 게 아쉬웠다  위치는 좋다 대로에 있어서 ', '조금 아쉬워요', '직원 및 맛은 평타이상.. 매장 및 특히 2층 테이블분위기가 어수선함.. 스벅고유의 안정스러운 분위기없음..', '시끄러운 애새끼들 데리고 오는 사람들이 많네요.. 시설은 좋은데 애들 징징거리는 소리때문에 대화하기는 힘들어요', '경수대로 변에 위치해 있고 집에서도 가까워서 드라이브할 때 자주 애용합니다. 주차장도 나름 넓고 좋아요.', '스벅은 서비스가 왠만하면 다 평타이상. 커피맛 잘 몰라서 그건 모르겠고. ', '직원들 친절해요', '직원 및 맛은 평타이상.. 매장 및 특히 2층 테이블분위기가 어수선함.. 스벅고유의 안정스러운 분위기없음..', '시끄러운 애새끼들 데리고 오는 사람들이 많네요.. 시설은 좋은데 애들 징징거리는 소리때문에 대화하기는 힘들어요']	['2', '2', '2', '2', '5', '2', '2', '2', '3', '3', '5', '5', '5', '3', '3']	['2020.04.27.', '2020.02.16.', '2020.01.18.', '2019.11.22.', '2019.10.28.', '2020.04.27.', '2020.02.16.', '2020.01.18.', '2019.08.11.', '2018.11.10.', '2017.12.25.', '2017.11.04.', '2017.09.25.', '2019.08.11.', '2018.11.10.']
2	스타벅스 구의DT점	서울 광진구 광나루로 519	(지번) 구의동 67-36	4.4	https://place.map.kakao.com/26639935#review	10	['드라이브스루도 되고 직원분들 친절하고 좋습니다. ', '좌석이 너무 다닥다닥 붙어있고 바빠서인지 요구들이 빨리 들어지지 않지만 2층까지 있는게 좋다. 테라스는 추락 의험 때문에 막아두었던데 날씨가 좋으면 테라스 자리도 만들어주면 좋겠다. 이 지점의 최대 장점이 통유리창과 테라스이니 소파 쪽 좌석은 좀 줄이고 장점을 최대한 활용하셨으면. ', '무난해요', '최고예요', '최고예요', '드라이브스루도 되고 직원분들 친절하고 좋습니다. ', '좌석이 너무 다닥다닥 붙어있고 바빠서인지 요구들이 빨리 들어지지 않지만 2층까지 있는게 좋다. 테라스는 추락 의험 때문에 막아두었던데 날씨가 좋으면 테라스 자리도 만들어주면 좋겠다. 이 지점의 최대 장점이 통유리창과 테라스이니 소파 쪽 좌석은 좀 줄이고 장점을 최대한 활용하셨으면. ', '무난해요', '최고예요', '최고예요', '최고예요', '좋아요', '좋아요', '최고예요']	['5', '3', '3', '5', '5', '5', '3', '3', '5', '5', '5', '4', '5']	['2020.06.06.', '2020.02.29.', '2020.01.27.', '2018.11.28.', '2018.10.31.', '2020.06.06.', '2020.02.29.', '2020.01.27.', '2018.11.28.', '2018.02.10.', '2017.12.03.', '2017.07.10.', '']
3	스타벅스 송파방이DT점	서울 송파구 오금로 241	(지번) 방이동 226-10	3.2	https://place.map.kakao.com/1710997869#review	23	['드라이브쓰루는 괜찮은듯', '사람 너무 많네요ㅜ', '넓어서 좋다. 뜨거운 태양과 함께 뜨거워지고싶다면 2층 창 옆 추천', '보통이에요', '2층 천장이 높아 한결 여유롭다', '드라이브쓰루는 괜찮은듯', '사람 너무 많네요ㅜ', '넓어서 좋다. 뜨거운 태양과 함께 뜨거워지고싶다면 2층 창 옆 추천', '방이역점에 비해 훨씬 최근에 생겼음에도 내부가 깔끔하게 관리되고 있는 느낌이 아니고 무엇보다 파트너들의 친절도나 에너지가 떨어집니다. 방이역점은 더 좁은 공간에 손님이 많아 번잡할 때가 있는데 그래도 친절함이 느껴지는 반면 이곳은 항상 뭔가 차가워요', '서비스. 태도.  별로', '좀 일찍 오픈 하길', '최고예요', '좋아요', '방이역점에 비해 훨씬 최근에 생겼음에도 내부가 깔끔하게 관리되고 있는 느낌이 아니고 무엇보다 파트너들의 친절도나 에너지가 떨어집니다. 방이역점은 더 좁은 공간에 손님이 많아 번잡할 때가 있는데 그래도 친절함이 느껴지는 반면 이곳은 항상 뭔가 차가워요', '최고예요']	['4', '2', '5', '3', '5', '4', '2', '3', '1', '3', '5', '4', '3', '5']	['2020.05.31.', '2020.04.21.', '2020.04.02.', '2019.08.07.', '2018.09.26.', '2020.05.31.', '2020.04.21.', '2018.09.24.', '2018.09.08.', '2018.04.14.', '2018.02.11.', '2017.12.19.', '2018.09.24.', '']
4	스타벅스 안양호계DT	경기 안양시 동안구 엘에스로 27	(지번) 호계동 714-6	4.4	https://place.map.kakao.com/1699463111#review	11	['한번에 28잔이나 주문한 인간도 답 없지만 10분동안 주문 받으면서도 다음 주문부터는 15분 이후에나 받을 수 있다는 안내도 안 해줘서 주구장창 기다리게 하는 것도 답 없다 ', '오늘 기분 안좋은일이 있어서 커피와 케이크로 기분 좀 풀려고 드라이브 스루로 방문하였는데 남자 직원 분 정말 너무 친절하십니다 앞으로 행복한 일들만 가득하셨으면 좋겠습니다 아메리카노도 너무 맛있었습니다 감사합니다 ', 'DT진입로가 좁고 주차공간이 부족해서 불편함', '좋아요 ^^', '좋아요', '한번에 28잔이나 주문한 인간도 답 없지만 10분동안 주문 받으면서도 다음 주문부터는 15분 이후에나 받을 수 있다는 안내도 안 해줘서 주구장창 기다리게 하는 것도 답 없다 ', '오늘 기분 안좋은일이 있어서 커피와 케이크로 기분 좀 풀려고 드라이브 스루로 방문하였는데 남자 직원 분 정말 너무 친절하십니다 앞으로 행복한 일들만 가득하셨으면 좋겠습니다 아메리카노도 너무 맛있었습니다 감사합니다 ', 'DT진입로가 좁고 주차공간이 부족해서 불편함', '좋아요 ^^', '최고예요', '최고예요', '매장 넓고 편함', '매장 넓고 사람없고. 공부하거나 애기데리고 가기 딱좋음. 싸이렌오더로 주문하고 좀 늦게 도착하니 음료도 새로 만들어 주시고. 좋습니다.']	['1', '5', '3', '5', '4', '1', '5', '3', '5', '5', '5', '5']	['2020.04.30.', '2020.03.19.', '2019.12.24.', '2019.07.28.', '2019.07.27.', '2020.04.30.', '2020.03.19.', '2019.12.24.', '2018.12.19.', '2018.09.22.', '2017.09.27.', '2017.07.08.']
5	스타벅스 부천중동DT점	경기 부천시 부흥로 193	(지번) 중동 628-14	3.4	https://place.map.kakao.com/27453872#review	9	['차가 많아서  그냥 지나가게된다', '차를 가지고 간다면 상당히 별로예요 .. 처음 가보았는데 주차공간이 너무 협소하고 그래서 차량주문을 했는데 시럽이 컵에 묻어있는 상태 그대로 주셨더라구요 .. 끈적거려서 매우 불쾌했네요 .. ', '최고예요', '평소에도 사람이 많지만 시험기간엔 미어터져요 ㅠ.ㅠ 전에 일요일 12시에 갔는데 3층에만 자리가 있던.. 3층에 테라스도 있어요. 커피는 무난무난', '정획도', '차가 많아서  그냥 지나가게된다', '차를 가지고 간다면 상당히 별로예요 .. 처음 가보았는데 주차공간이 너무 협소하고 그래서 차량주문을 했는데 시럽이 컵에 묻어있는 상태 그대로 주셨더라구요 .. 끈적거려서 매우 불쾌했네요 .. ', '최고예요', '평소에도 사람이 많지만 시험기간엔 미어터져요 ㅠ.ㅠ 전에 일요일 12시에 갔는데 3층에만 자리가 있던.. 3층에 테라스도 있어요. 커피는 무난무난', '정획도', '조용하고 쾌적하다 특히 옥상이 굳~~~', '보통이에요']	['3', '1', '5', '4', '5', '3', '1', '5', '4', '4', '3']	['2020.06.14.', '2019.11.12.', '2019.05.04.', '2018.06.19.', '2017.09.28.', '2020.06.14.', '2019.11.12.', '2019.05.04.', '2018.06.19.', '2017.09.26.', '']
6	스타벅스 평촌역DT점	경기 안양시 동안구 시민대로 373	(지번) 관양동 902	4.0	https://place.map.kakao.com/2051389845#review	5	['최고예요', '최고예요', '차가 워낙 많아서 주차가 힘드네요. 주차장이 컸으면 좋겠어요. ', '사람이 많고 일처리가 느려요...', '주차 많이 되고, 넓고 좋네요. 도로에서 바로 들어가네요.']	['5', '5', '3', '2', '5']	['2020.05.29.', '2020.05.16.', '2020.04.25.', '2020.03.06.', '2020.01.19.']
7	스타벅스 인천갈산DT점	인천 부평구 장제로 371	(지번) 갈산동 32-2	2.8	https://place.map.kakao.com/26805893#review	5	['있는게 없어 뭐가 ㅡㅡ 박스도 없다  종이봉투도 없다 뭐가 있는거야 도대체 개짜증나네 ㅋ', '최고예요', '보통이에요']	['1', '5', '3']	['2019.12.27.', '2018.04.30.', '2017.05.14.']
8	스타벅스 백석역DT점	경기 고양시 일산동구 중앙로 1054	(지번) 백석동 1296-3	4.8	https://place.map.kakao.com/21906910#review	4	['직원분들 정말 친절하십니다. 몸이 불편한 분들도 도와주시고, 매장도 넓고 청결한 것 같아요.']	['5']	['2020.05.20.']
9	스타벅스 원당DT점	경기 고양시 덕양구 호국로 811	(지번) 주교동 620-1	4.2	https://place.map.kakao.com/26410048#review	12	['직원들 전부 친절함 아침마다 기분 좋음  특히 오늘 아침 남자분   말없이 뜨거운물로 개인컵 한번 데워주기 흐를 수 있으니 뚜껑을 받아 닫아주기 뜨거우니 조심하라는 끝 인사까지  쏘 스윗 설탕수준 남자인데 반할뻔 맛잇는 모닝뜨아였음 :)', '최고예요', '친절한 아르바이트생! ^^ 그런데 1번은 향이 빠진 아메리카노가 나온 적이 있어요. ^^ 그러나 자주 이용하는 DT점입니다. ^^', '직원들 전부 친절함 아침마다 기분 좋음  특히 오늘 아침 남자분   말없이 뜨거운물로 개인컵 한번 데워주기 흐를 수 있으니 뚜껑을 받아 닫아주기 뜨거우니 조심하라는 끝 인사까지  쏘 스윗 설탕수준 남자인데 반할뻔 맛잇는 모닝뜨아였음 :)']	['5', '5', '4', '5']	['2020.06.05.', '2020.05.18.', '2017.09.27.', '2020.06.05.']
