	mac_name	address	address2	score	link
0	스타벅스 영등포신길DT점	서울 영등포구 신길로 137 1,2층	(지번) 신길동 252-9	4.3	https://place.map.kakao.com/26316695#review
1	스타벅스 신림DT점	서울 관악구 남부순환로 1419	(지번) 신림동 564-12	3.9	https://place.map.kakao.com/784815881#review
2	스타벅스 낙성대DT점	서울 관악구 남부순환로 1948	(지번) 봉천동 1657-3	3.0	https://place.map.kakao.com/427369680#review
3	스타벅스 연희DT점	서울 서대문구 연희로 144	(지번) 연희동 87-8	3.7	https://place.map.kakao.com/26571462#review
4	스타벅스 화곡DT점	서울 강서구 등촌로 57	(지번) 화곡동 772-67	4.5	https://place.map.kakao.com/470408699#review
5	스타벅스 신정DT점	서울 양천구 신월로 341	(지번) 신정동 981-15	3.2	https://place.map.kakao.com/1737262840#review
6	스타벅스 신월ICDT점	서울 양천구 남부순환로 430	(지번) 신월동 205-48	4.2	https://place.map.kakao.com/26900383#review
7	스타벅스 안양석수DT점	경기 안양시 만안구 경수대로 1399	(지번) 석수동 385-9	4.3	https://place.map.kakao.com/26849460#review
8	스타벅스 과천DT점	경기 과천시 중앙로 277	(지번) 중앙동 79	4.3	https://place.map.kakao.com/1319610997#review
9	스타벅스 광명소하DT점	경기 광명시 오리로 363	(지번) 소하동 1077	3.8	https://place.map.kakao.com/688125358#review
10	스타벅스 역곡역DT점	경기 부천시 경인로 485	(지번) 괴안동 112-25	2.6	https://place.map.kakao.com/26548835#review
11	스타벅스 방화DT점	서울 강서구 방화대로 375	(지번) 방화동 293-4	2.8	https://place.map.kakao.com/482613052#review
12	스타벅스 종암DT점	서울 성북구 종암로 17	(지번) 종암동 29-10	3.0	https://place.map.kakao.com/1925239650#review
13	스타벅스 공릉DT점	서울 노원구 동일로 1015	(지번) 공릉동 597-34	2.8	https://place.map.kakao.com/1826125340#review
14	스타벅스 안양운동장사거리DT점	경기 안양시 동안구 관악대로 234	(지번) 비산동 1054	3.7	https://place.map.kakao.com/1136303661#review
15	스타벅스 부천심곡DT점	경기 부천시 부천로 97	(지번) 심곡동 110-5	4.5	https://place.map.kakao.com/2057095996#review
16	스타벅스 안양비산DT점	경기 안양시 동안구 경수대로 821	(지번) 비산동 580-6	3.6	https://place.map.kakao.com/26900391#review
17	스타벅스 구의DT점	서울 광진구 광나루로 519	(지번) 구의동 67-36	4.4	https://place.map.kakao.com/26639935#review
18	스타벅스 송파방이DT점	서울 송파구 오금로 241	(지번) 방이동 226-10	3.2	https://place.map.kakao.com/1710997869#review
19	스타벅스 안양호계DT	경기 안양시 동안구 엘에스로 27	(지번) 호계동 714-6	4.4	https://place.map.kakao.com/1699463111#review
20	스타벅스 부천중동DT점	경기 부천시 부흥로 193	(지번) 중동 628-14	3.4	https://place.map.kakao.com/27453872#review
21	스타벅스 평촌역DT점	경기 안양시 동안구 시민대로 373	(지번) 관양동 902	4.0	https://place.map.kakao.com/2051389845#review
22	스타벅스 인천갈산DT점	인천 부평구 장제로 371	(지번) 갈산동 32-2	2.8	https://place.map.kakao.com/26805893#review
23	스타벅스 백석역DT점	경기 고양시 일산동구 중앙로 1054	(지번) 백석동 1296-3	4.8	https://place.map.kakao.com/21906910#review
24	스타벅스 원당DT점	경기 고양시 덕양구 호국로 811	(지번) 주교동 620-1	4.2	https://place.map.kakao.com/26410048#review
25	스타벅스 의왕청계DT점	경기 의왕시 안양판교로 246	(지번) 청계동 829-4	5.0	https://place.map.kakao.com/1392413715#review
26	스타벅스 송파나루역DT점	서울 송파구 오금로 142	(지번) 송파동 59-9	4.1	https://place.map.kakao.com/1130138697#review
27	스타벅스 일산풍동DT점	경기 고양시 일산동구 백마로 475	(지번) 풍동 879	3.7	https://place.map.kakao.com/1189347946#review
