	loc_name	address	num_review	link
0	스타벅스 연희DT점	연희동 87-7 ,87-8	블로그리뷰 98	https://m.place.naver.com/restaurant/36462644?entry=pll
1	스타벅스 종암DT점	종암동 29-10	블로그리뷰 26	https://m.place.naver.com/restaurant/1447459716?entry=pll
2	카페	신길동 252-9 253-331253-333253-334253-335253-336	블로그리뷰 144	https://m.place.naver.com/restaurant/35886658?entry=pll
3	스타벅스 영등포신길DT점	구의동 67-36	블로그리뷰 90	https://m.place.naver.com/restaurant/36636853?entry=pll
4	스타벅스 구의DT점	봉천동 1657-3	블로그리뷰 104	https://m.place.naver.com/restaurant/38412114?entry=pll
5	스타벅스 낙성대DT점	공릉동 597-34 597-30, 597-31, 597-32	블로그리뷰 111	https://m.place.naver.com/restaurant/1954026333?entry=pll
6	스타벅스 공릉DT점	화곡동 772-67	블로그리뷰 101	https://m.place.naver.com/restaurant/38667808?entry=pll
7	카페	신림동 564-12	블로그리뷰 43	https://m.place.naver.com/restaurant/1830884794?entry=pll
8	스타벅스 화곡DT점	신정동 981-15	블로그리뷰 82	https://m.place.naver.com/restaurant/1601643645?entry=pll
9	스타벅스 신림DT점	송파동 59-9 송봉주유소	블로그리뷰 46	https://m.place.naver.com/restaurant/1866649037?entry=pll
10	카페	암사동 441-12	블로그리뷰 36	https://m.place.naver.com/restaurant/1368758481?entry=pll
11	스타벅스 신정DT점	성내동 550	블로그리뷰 27	https://m.place.naver.com/restaurant/1314969450?entry=pll
12	카페	신월동 205-49	블로그리뷰 111	https://m.place.naver.com/restaurant/36960746?entry=pll
13	스타벅스 송파나루역DT점	방이동 226-10	블로그리뷰 63	https://m.place.naver.com/restaurant/38531319?entry=pll
14	카페	중앙동 79	블로그리뷰 59	https://m.place.naver.com/restaurant/1303047668?entry=pll
15	스타벅스 강동암사DT점	방화동 293-4	블로그리뷰 80	https://m.place.naver.com/restaurant/1967951981?entry=pll
16	카페	주교동 620-1	블로그리뷰 68	https://m.place.naver.com/restaurant/36196189?entry=pll
17	스타벅스 강동구청DT점	석수동 385-3	블로그리뷰 72	https://m.place.naver.com/restaurant/36860572?entry=pll
18	카페	교현리 112-2	블로그리뷰 19	https://m.place.naver.com/restaurant/1601189447?entry=pll
19	스타벅스 신월IC DT점	소하동 1077	블로그리뷰 35	https://m.place.naver.com/restaurant/483736273?entry=pll
20	스타벅스 송파방이DT점	고양동 568	블로그리뷰 65	https://m.place.naver.com/restaurant/37378981?entry=pll
21	스타벅스 과천DT점	괴안동 112-25	블로그리뷰 131	https://m.place.naver.com/restaurant/36424589?entry=pll
22	카페	망월동 1066-3	블로그리뷰 21	https://m.place.naver.com/restaurant/1757890723?entry=pll
23	스타벅스 방화DT점	호원동 433-1	블로그리뷰 84	https://m.place.naver.com/restaurant/515571805?entry=pll
24	카페	비산동 1054	블로그리뷰 81	https://m.place.naver.com/restaurant/1288529223?entry=pll
25	스타벅스 원당DT점	관양동 902 1필지	블로그리뷰 30	https://m.place.naver.com/restaurant/1666103159?entry=pll
26	스타벅스 안양석수DT점	백석동 1296-3 1층	블로그리뷰 72	https://m.place.naver.com/restaurant/33409115?entry=pll
27	스타벅스 양주송추DT점	경기 고양시 일산동 풍동 879	블로그리뷰 36	https://m.place.naver.com/restaurant/1188664778?entry=pll
28	카페	심곡동 110-5	블로그리뷰 45	https://m.place.naver.com/restaurant/1647737589?entry=pll
29	스타벅스 광명소하DT점	의정부동 543-6	블로그리뷰 41	https://m.place.naver.com/restaurant/1382577985?entry=pll
30	스타벅스 고양DT점	경기 의정부시 신곡동 263-17	블로그리뷰 49	https://m.place.naver.com/restaurant/1040367761?entry=pll
31	스타벅스 역곡역DT점	비산동 580-6	블로그리뷰 68	https://m.place.naver.com/restaurant/36960747?entry=pll
32	스타벅스 하남미사DT점	경기 의왕시 청계동 829-4	블로그리뷰 21	https://m.place.naver.com/restaurant/1304557991?entry=pll
33	카페	풍동 609	블로그리뷰 40	https://m.place.naver.com/restaurant/1600631339?entry=pll
34	스타벅스 의정부회룡역DT점	중동 628-14	블로그리뷰 82	https://m.place.naver.com/restaurant/37553750?entry=pll
35	스타벅스 안양운동장사거리DT점	경기 의정부시 용현동 189-3 4, 20, 21, 22(5필지)	블로그리뷰 32	https://m.place.naver.com/restaurant/1164010712?entry=pll
36	카페	풍무동 326-4	블로그리뷰 42	https://m.place.naver.com/restaurant/1135005720?entry=pll
37	스타벅스 평촌역DT점	대야동 501-3	블로그리뷰 27	https://m.place.naver.com/restaurant/1189133162?entry=pll
38	카페	가능동 93-1 92-2 (2필지)	블로그리뷰 67	https://m.place.naver.com/restaurant/37378967?entry=pll
39	스타벅스 백석역DT점	도곡리 504-15	블로그리뷰 1,295	https://m.place.naver.com/restaurant/197224424?entry=pll
40	스타벅스 일산풍동DT점	호계동 714-5	블로그리뷰 47	https://m.place.naver.com/restaurant/38511119?entry=pll
41	카페	갈산동 32-2 34-1	블로그리뷰 71	https://m.place.naver.com/restaurant/36745066?entry=pll
42	스타벅스 부천심곡DT점	작전동 852-30 852-31	블로그리뷰 25	https://m.place.naver.com/restaurant/1466177470?entry=pll
43	카페	풍무동 57-1	블로그리뷰 16	https://m.place.naver.com/restaurant/1189092814?entry=pll
44	스타벅스 의정부예술의전당DT점	풍무동 620-11	블로그리뷰 65	https://m.place.naver.com/restaurant/34363397?entry=pll
45	카페	덕이동 469 469-1	블로그리뷰 44	https://m.place.naver.com/restaurant/847006899?entry=pll
46	스타벅스 의정부신곡DT점	평내동 246-2	블로그리뷰 79	https://m.place.naver.com/restaurant/36995576?entry=pll
