	mac_name	address	address2	score	latitude	longitude
0	맥도날드 양평SK점	서울 영등포구 선유로 195	(지번) 양평동3가 80-2	3.1	37.5309805	126.89334299999999
1	맥도날드 양천구청DT점	서울 양천구 목동동로 71	(지번) 신정동 323-20	2.1	37.5154644	126.86295359999998
2	맥도날드 고척DT	서울 구로구 경인로 393	(지번) 고척동 277-12	2.6	37.4972276	126.8635355
3	맥도날드 염창DT점	서울 강서구 공항대로71길 3	(지번) 염창동 280-11	2.5	37.55289129999999	126.8701637
4	맥도날드 서초GS점	서울 서초구 반포대로 69	(지번) 서초동 1536-17	2.3	37.4864212	127.0098686
5	맥도날드 등촌DT점	서울 강서구 양천로 546	(지번) 등촌동 630	3.8	37.5582134	126.8597362
6	맥도날드 서울시흥DT점	서울 금천구 시흥대로 184	(지번) 시흥동 903-4	2.7	37.450618299999995	126.9025965
7	맥도날드 신월남부DT점	서울 양천구 남부순환로 553	(지번) 신월동 525-1	2.4	37.5195591	126.8387341
8	맥도날드 우장산DT점	서울 강서구 강서로 216	(지번) 화곡동 1026	2.9	37.5450625	126.83733600000001
9	맥도날드 광명소하DT점	경기 광명시 오리로 512	(지번) 소하동 1340	3.3	37.4522833	126.8700011
10	맥도날드 청담DT점	서울 강남구 도산대로 407	(지번) 청담동 87-3	2.2	37.523672499999996	127.0402442
11	맥도날드 신월DT	서울 양천구 남부순환로 404	(지번) 신월동 199-3	2.3	37.5313045	126.83074309999999
12	맥도날드 광명DT점	경기 광명시 광명로 765	(지번) 광명동 754-4	3.9	37.4480761	126.85112849999999
13	맥도날드 강남삼성DT점	서울 강남구 봉은사로 432	(지번) 삼성동 113-7	2.5	37.5107997	127.04731559999999
14	맥도날드 양재SK DT점	서울 서초구 바우뫼로 178	(지번) 양재동 81	2.6	37.4780706	127.03961000000001
15	맥도날드 부천역곡역DT점	경기 부천시 경인로 487	(지번) 괴안동 112-23	2.8	37.483736	126.78119309999998
16	맥도날드 부천원종DT점	경기 부천시 소사로 689	(지번) 원종동 376-6	1.7	37.5228052	126.80326969999999
17	맥도날드 송파잠실DT점	서울 송파구 도곡로 434	(지번) 잠실동 305-15	3.0	37.50436079999999	127.07705049999998
18	맥도날드 중동DT점	경기 부천시 중동로262번길 94	(지번) 중동 1142-9	3.3	37.5021682	126.77417109999999
19	맥도날드 서울번동DT점	서울 강북구 월계로 191	(지번) 번동 106	1.9	37.6211416	127.04524550000001
20	맥도날드 안양비산DT점	경기 안양시 동안구 경수대로 839 지상 1층	(지번) 비산동 576-13	1.4	37.3934753	126.9415317
21	맥도날드 미아DT점	서울 강북구 삼양로 158	(지번) 미아동 682-12	2.6	37.6370282	127.0170402
22	맥도날드 서울둔촌DT점	서울 강동구 양재대로 1382	(지번) 둔촌동 517-2	3.0	37.5292801	127.1373345
23	맥도날드 인천구산DT점	인천 부평구 경인로 1191	(지번) 구산동 1-4	2.9	37.4841279	126.751893
24	맥도날드 고양원당DT점	경기 고양시 덕양구 호국로 777	(지번) 주교동 610-4	4.0	37.676286100000006	126.8748972
25	맥도날드 인천계산DT점	인천 계양구 오조산로 39 1~3층	(지번) 계산동 1083-3	2.7	37.5342698	126.73813670000001
26	맥도날드 굽은다리역DT점	서울 강동구 양재대로 1587	(지번) 천호동 31-10	3.1	37.5472557	127.1429838
27	맥도날드 군포산본DT점	경기 군포시 고산로 715	(지번) 산본동 105-6	2.5	37.3575915	126.93711090000002
28	맥도날드 가락DT점	서울 송파구 동남로 196	(지번) 가락동 193-7	1.3	37.494854100000005	127.1307848
29	맥도날드 쌍문DT점	서울 도봉구 도봉로 541	(지번) 쌍문동 700	3.1	37.6535816	127.0371852
