	loc_name	address	dates	scores	reviews	latitude	longitude
0	스타벅스 국립대구박물관DT점	황금동 69-3 64-5	2020-04-09 18:22:58.723404288	4.74468085106383	45	35.8455517	128.6390884
1	스타벅스 대구영대병원역DT점	봉덕동 595-7	2020-04-08 01:06:58.604651264	4.744186046511628	78	35.8454732	128.5935246
2	스타벅스 경주터미널DT점	사정동 488-7 8	2020-01-14 13:14:28.965517312	4.741379310344827	220	35.8381689	129.2033261
3	스타벅스 대구수성네거리DT점	수성동4가 1021-8	2019-11-26 12:05:10.791366912	4.7338129496402885	128	35.8604584	128.6180418
4	스타벅스 광주매곡DT점	매곡동 15	2019-11-06 12:13:20.000000000	4.724537037037037	204	35.1898357	126.8986979
5	스타벅스 목포터미널DT점	상동 135	2020-03-04 10:20:00.000000000	4.722222222222221	64	35.8339376	128.6118637
6	스타벅스 아산방축DT점	방축동 124-5	2020-05-10 17:01:23.720930304	4.72093023255814	76	36.7836376	126.99267
7	스타벅스 울산MBC DT점	복산동 40-6	2020-01-14 08:16:50.526315776	4.7134502923976624	167	35.5616281	129.3323601
8	스타벅스 포항쌍용DT점	상도동 601	2019-12-08 17:45:05.325443840	4.710059171597633	162	37.4989895	126.9377193
9	스타벅스 광주주월DT점	주월동 960-13	2020-03-25 18:00:00.000000000	4.700892857142857	105	35.1341387	126.8981372
10	스타벅스 청주사직DT점	충북 청주시 서원구 사직동 126-14	2020-02-05 19:40:27.906976768	4.700581395348837	167	36.6358593	127.48118
11	스타벅스 광주지산DT점	동명동 12-3	2020-03-28 06:11:36.774193664	4.693548387096773	86	35.1497144	126.9290755
12	스타벅스 광주신안DT점	신안동 333	2020-02-14 00:15:14.285714176	4.687830687830688	178	35.1714325	126.8949657
13	스타벅스 여수학동DT점	학동 67-6 18, 19	2020-06-07 11:04:36.923076864	4.682692307692308	50	34.7614394	127.660968
14	스타벅스 대전신탄진DT점	석봉동 309-10	2019-12-20 22:00:00.000000000	4.681818181818182	126	36.44866030000001	127.4199831
15	스타벅스 수원권선DT점	오목천동 321-20	2019-12-19 21:53:28.368200960	4.679916317991632	202	37.2463619	126.9640167
16	스타벅스 대구칠곡대로DT점	태전동 1049-2	2020-01-26 02:32:11.707316992	4.678861788617887	113	35.92659	128.5479626
17	스타벅스 고양DT점	고양동 568	2020-02-15 18:02:37.664233472	4.678832116788321	130	37.7095394	126.9052947
18	스타벅스 대구수성도서관DT점	만촌동 1329-17 1, 33, 34	2020-02-10 02:38:38.644067840	4.677966101694915	107	35.8727987	128.6389953
19	스타벅스 대구상인DT점	상인동 54-3 1~2층	2020-01-31 02:38:38.644067840	4.673728813559323	111	35.822283	128.5343795
20	스타벅스 안성석정DT점	석정동 254-3	2020-01-27 13:15:25.714285824	4.6714285714285735	98	37.0103421	127.2620805
21	스타벅스 용인상하DT점	경기 용인시 기흥구 상하동 249-2	2020-02-10 11:48:00.000000000	4.670833333333333	112	37.2596715	127.1424797
22	스타벅스 대구앞산DT점	대명동 493-38	2020-04-12 12:00:00.000000000	4.670454545454546	86	35.8356394	128.579943
23	스타벅스 창원호계DT점	호계리 177-2	2020-02-11 10:05:13.043478272	4.670289855072464	124	35.2615074	128.5230356
24	스타벅스 대전터미널DT점	성남동 502-2	2020-03-21 03:05:48.387096832	4.669354838709677	57	36.3477532	127.4342841
25	스타벅스 광주월산DT점	월산동 963-3	2020-03-02 03:39:20.264900608	4.66887417218543	144	35.1457088	126.8909107
26	스타벅스 남양산IC DT점	석산리 966	2020-03-20 02:38:57.662337536	4.6688311688311686	143	35.3194621	129.0306908
27	스타벅스 온천장역DT점	장전동 607-6	2020-01-26 06:44:23.013698560	4.667808219178082	133	35.2239552	129.086568
28	스타벅스 김포감정DT점	감정동 502-20	2020-02-10 02:25:27.272727296	4.666666666666667	182	37.6247863	126.6964285
29	스타벅스 울산남구청DT점	신정동 133-1	2020-02-04 04:27:41.538461440	4.666666666666667	147	35.5441545	129.3245996
30	스타벅스 광주금호DT점	쌍촌동 902-13	2019-12-10 01:41:56.814159360	4.663716814159292	106	35.1421126	126.8576646
31	스타벅스 신월IC DT점	신월동 205-49	2020-01-20 21:05:14.563106816	4.662621359223301	185	37.5293911	126.8320559
32	스타벅스 대구칠성DT점	칠성동2가 371-5	2020-02-12 23:02:46.887417344	4.662251655629139	141	35.879674	128.5963911
33	스타벅스 제주외도DT점	외도일동 401-1	2020-03-31 08:06:45.633802752	4.661971830985915	68	33.4923073	126.4271223
34	스타벅스 의정부신곡DT점	경기 의정부시 신곡동 263-17	2020-02-01 22:19:53.582887680	4.660427807486631	181	37.7261653	127.0647318
35	스타벅스 경인교대입구역DT점	작전동 852-30 852-31	2020-04-16 18:02:37.664233472	4.656934306569343	128	37.5355197	126.722153
36	스타벅스 의정부녹양DT점	가능동 93-1 92-2 (2필지)	2020-01-13 08:36:00.000000000	4.654166666666667	113	37.7584788	127.0402351
37	스타벅스 인천당하DT점	당하동 1092-7	2020-01-22 04:54:15.652173824	4.652173913043479	217	37.593359	126.675556
38	스타벅스 군산나운DT점	나운동 843-6	2020-04-05 19:40:48.000000000	4.65	96	35.9626875	126.6955737
39	스타벅스 부천중동DT점	중동 628-14	2020-01-09 02:22:13.333333248	4.648148148148149	157	37.4963743	126.7642
40	스타벅스 대구감삼DT점	감삼동 490-1	2020-01-16 02:30:00.000000000	4.643229166666667	186	35.8443842	128.5366553
41	스타벅스 대구성서IC DT점	용산동 410-9 12	2020-02-06 08:50:00.000000000	4.642361111111111	138	35.8507998	128.5202604
42	스타벅스 청주용암DT점	용암동 1693 행복을 만드는집	2020-03-16 23:33:00.000000000	4.640625	154	36.607523	127.5039128
43	스타벅스 대구황금DT점	지산동 941	2020-02-05 03:46:31.011235840	4.640449438202247	85	35.83906880000001	128.625797
44	스타벅스 용인김량장DT점	김량장동 177-1	2020-03-13 08:03:34.925373184	4.638059701492537	118	37.239832	127.2104973
45	스타벅스 원주반곡DT점	반곡동 1141	2020-03-11 11:19:45.093167616	4.636645962732919	151	37.3196347	127.9715718
46	스타벅스 일산애니골DT점	풍동 609	2020-02-05 13:35:39.860139776	4.636363636363637	139	37.6745369	126.7931915
47	스타벅스 금정남산동DT점	남산동 68-1 남산프라자	2020-04-13 18:00:00.000000000	4.636363636363637	84	35.2644337	129.0926098
48	스타벅스 경주보문로DT점	천군동 1584-33 외 1번지(신평동 719-220)	2020-01-14 18:44:40.291970816	4.635036496350367	128	35.8388242	129.2859021
49	스타벅스 세종다정DT점	다정동 639	2020-02-27 10:07:30.000000000	4.6328125	175	0	0
50	스타벅스 제천DT점	중앙로2가 68-3	2020-02-03 23:38:00.916030464	4.629770992366412	123	37.1436691	128.2128533
51	스타벅스 동해DT점	천곡동 1020	2020-02-09 05:23:43.255813888	4.627906976744186	121	37.5201864	129.1147727
52	스타벅스 광주화정DT점	화정동 769-1	2019-12-30 01:34:35.912408832	4.627737226277373	128	35.1522047	126.8799969
53	스타벅스 기장역DT점	청강리 31-1	2020-04-09 23:07:57.108433664	4.6265060240963845	74	35.2421513	129.220117
54	스타벅스 해운대달맞이DT점	중동 1779	2019-12-20 21:39:30.731707392	4.626016260162602	118	29.2985278	42.5509603
55	스타벅스 울산도산사거리DT점	울산 남구 야음동 580	2020-01-19 19:32:58.807947008	4.6258278145695355	140	35.5311407	129.3301545
56	스타벅스 구미상모DT점	상모동 478-5 상모주유소	2020-02-18 10:31:50.204081664	4.625	190	36.0823172	128.3563847
57	스타벅스 안성공도DT점	마정리 147-8	2020-03-05 11:00:00.000000000	4.625	134	37.0095034	127.2007549
58	스타벅스 의정부용현DT점	경기 의정부시 용현동 189-3 4, 20, 21, 22(5필지)	2020-02-14 08:57:08.571428608	4.623015873015873	119	37.7305628	127.0843037
59	스타벅스 포항장성DT점	장성동 1577-8	2020-02-06 00:00:00.000000000	4.622580645161291	149	36.07453539999999	129.3842141
60	스타벅스 대구공평DT점	동인동2가 25-1 1~2층	2020-01-18 23:20:00.000000000	4.62037037037037	200	35.8695386	128.6007534
61	스타벅스 동대구로DT점	신천동 300-2	2020-01-13 14:31:06.666666752	4.62037037037037	156	35.8680868	128.6271589
62	스타벅스 청주용담DT점	충북 청주시 상당구 용담동 324-36	2020-01-01 15:38:44.050632960	4.620253164556962	143	36.6342108	127.505078
63	스타벅스 을숙도강변DT점	하단동 1157-17	2020-02-12 12:34:33.600000000	4.62	238	35.1152603	128.9595779
64	스타벅스 충주호암DT점	호암동 653-2 4	2020-04-26 12:32:30.967741952	4.619354838709677	138	36.9589788	127.9236984
