	loc_name	address	scores	reviews	dates
0	스타벅스 연희DT점	연희동 87-7 ,87-8	4.0	아주 좋아요 ~ 자주 이용하는 편이에요	2020-06-25
1	스타벅스 연희DT점	연희동 87-7 ,87-8	4.5	좋아요	2020-06-23
2	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	넓고 주차자리도 있어서 좋아요	2020-06-20
3	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	조아요	2020-06-19
4	스타벅스 연희DT점	연희동 87-7 ,87-8	3.5	커피맛이 약해요	2020-06-18
5	스타벅스 연희DT점	연희동 87-7 ,87-8	4.5		2020-06-12
6	스타벅스 연희DT점	연희동 87-7 ,87-8	3.5	음료는 너무 맛난데..사람이 너무 많아여 ㅠㅠ	2020-06-11
7	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	굿굿	2020-06-10
8	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	굿굿	2020-06-09
9	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	친절하고 커피맛있음	2020-06-09
10	스타벅스 연희DT점	연희동 87-7 ,87-8	1.0	커피2잔 샌드위치1개 주문했더니 물티슈는 1개 주네요 ㅠ	2020-06-07
11	스타벅스 연희DT점	연희동 87-7 ,87-8	4.0	드라이브스루때문에 한잔시켜도 좀 오래걸려요ㅜㅜ 급하신분이면 사이렌오더로 미리시키는게 좋을것같아요	2020-06-02
12	스타벅스 연희DT점	연희동 87-7 ,87-8	4.0	잉글리쉬머핀 헤비하지않고 맛있음. 카페위치 좋고, 매장널찍해서 편하게 이용가능함. 드라이브스루때문에 붐비는시간대 걸리면 주문음료 나오는데 시간이 좀 걸릴수있음	2020-06-02
13	스타벅스 연희DT점	연희동 87-7 ,87-8	4.0	시끄러움	2020-06-02
14	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	맛있어욤	2020-06-01
15	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	친절합니당~~~~~	2020-06-01
16	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	맛있어욤	2020-06-01
17	스타벅스 연희DT점	연희동 87-7 ,87-8	5.0	돌체라떼 짱~~!~!~!~!	2020-06-01
